W_REGN;TRICE;TBREAD;TMEAT;TRESTAURANT;TCLOTHFOOTWEAR;TTRANSPORT
ARMM;16570;3180;3300;1920;1190;3780
ARMM;23640;4140;1500;3720;4435;3810
ARMM;14560;4400;1366;720;4040;1440
ARMM;8971;2900;1480;3792;1065;2040
ARMM;7440;2590;2130;3600;5352;78684
ARMM;21918;2824;1740;1116;758;1320
ARMM;42588;8432;17128;12480;20205;13752
ARMM;19593;6100;4197;7360;1932;2010
ARMM;26232;780;6766;5200;6540;2196
ARMM;13195;5406;4124;9840;8315;47910
ARMM;30485;7520;2922;6990;1555;1980
ARMM;7280;2308;1220;3040;5653;2760
ARMM;20748;7370;1996;5720;3905;2040
ARMM;11466;538;2480;360;100;1290
ARMM;40950;3750;3467;5340;8520;2250
ARMM;39552;5240;3757;8240;4008;2460
ARMM;19110;5996;2242;3280;9755;3900
ARMM;30212;1520;6012;6020;1515;1890
ARMM;26572;6460;2240;1140;1610;1920
ARMM;20520;2940;4126;200;3160;13428
ARMM;41548;1354;3700;1780;7080;6360
ARMM;29580;951;9588;17220;19410;22182
ARMM;13120;390;2140;225;1964;2880
ARMM;11761;360;3652;400;2812;5100
ARMM;20354;1260;4000;2200;2887;4920
ARMM;16960;622;4194;340;3259;4080
ARMM;18700;1378;4600;300;4078;4680
ARMM;17880;3636;3384;2660;3844;6120
ARMM;17680;290;3576;450;2590;4680
ARMM;16570;1132;5111;430;2931;7080
ARMM;11579;1174;2280;1730;2407;8280
ARMM;13807;255;1017;350;1780;4440
ARMM;14960;885;3152;300;2295;4680
ARMM;15760;5353;7618;1840;2778;7080
ARMM;16050;1314;3388;1920;3810;8280
NCR;8736;3120;3497;96200;7093;7200
NCR;8320;5238;11723;25260;7522;23670
NCR;8112;7736;14360;164400;7418;34596
NCR;14092;9850;29760;72712;16908;21000
NCR;12740;5603;9464;400;1320;67176
NCR;28860;8567;47575;113140;19677;50376
NCR;21840;5910;18675;65160;1440;3522
NCR;18720;6462;30859;93410;7584;12096
NCR;7436;6214;1750;55600;3250;6768
NCR;14560;9397;16380;30580;2760;8874
NCR;2295;1690;35;26910;345;198
NCR;22100;6025;14905;16500;2180;444
NCR;12688;664;20230;23125;2010;1554
NCR;14248;5760;22926;57200;10890;31842
NCR;18564;5420;14804;10200;4460;2520
NCR;37278;12597;47932;138520;16860;32202
NCR;5730;2080;5785;43760;6500;15744
NCR;15925;5300;11105;40590;6700;3144
NCR;20930;1030;10260;48380;5535;20958
NCR;11544;2312;3925;23790;3930;10608
NCR;6448;1890;14980;41060;1810;7800
NCR;12610;7956;7012;43680;2800;15096
NCR;14638;2132;11850;95560;2020;27768
NCR;16770;6292;14629;12830;3705;2820
NCR;3848;970;6686;2255;690;5466
NCR;12064;3172;9737;16350;2120;5520
NCR;13234;2184;19720;88620;1980;8232
NCR;8320;7202;18682;6750;1980;3180
NCR;12376;2522;4964;34800;2030;2712
NCR;23400;22122;39426;41559;11100;17472
NCR;10920;6451;20174;27800;10829;53400
NCR;16016;4243;30980;81800;11340;30588
NCR;14560;5484;1811;50240;3730;43536
NCR;26208;2853;20895;20930;3500;8112
NCR;19110;1600;11510;37770;6240;22992
NCR;11648;703;12688;24630;3160;9648
NCR;21840;19422;25043;48680;4570;22704
NCR;20225;4610;10285;21170;1555;198
NCR;38220;36400;4212;87420;1025;55728
NCR;45850;36174;65876;162770;23405;87588
NCR;17745;3081;17346;32100;3174;19608
NCR;1680;3197;0;19320;0;1746
NCR;7607;3822;3919;7720;655;630
NCR;2080;1788;3970;30500;16000;9390
NCR;11744;0;13862;45660;2380;5544
NCR;8840;240;1188;7800;0;4992
NCR;10556;5056;13700;9565;600;4266
NCR;25679;19040;27465;45760;10710;14412
NCR;39780;15832;36652;73855;7635;32424
NCR;15470;6711;11071;63030;4210;28446
NCR;20820;9865;36266;64700;10060;53982
NCR;30446;8450;29708;55552;7049;17268
NCR;13936;8838;8674;20700;2620;2994
NCR;24440;6770;25936;20610;2504;15018
NCR;12870;2643;5240;69420;3720;6270
NCR;14352;2452;6206;31680;900;702
